solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023100000054009274694001900023900181002300002295200025209480ÿ,2013-09-27 09:27:46.967745,A3034KR4301HA26280080023100000054009274694001900023900181002300002295200025209480ÿ,2013-09-27 09:27:46.960011
A3034KR4301HA26280080023000000024009233633001900023900181002310001940200021323030ÿ,2013-09-27 09:23:36.361649,A3034KR4301HA26280080023000000024009233633001900023900181002310001940200021323030ÿ,2013-09-27 09:23:36.354477
A3034KR4301HA26280080023100000024009280833001900023900181002320002324800025552140ÿ,2013-09-27 09:28:08.352743,A3034KR4301HA26280080023100000024009280833001900023900181002320002324800025552140ÿ,2013-09-27 09:28:08.346573
A3034KR4301HA26280080021600000024009254653001900023900181002150002151900023606485ÿ,2013-09-27 09:25:46.564713,A3034KR4301HA26280080021600000024009254653001900023900181002150002151900023606485ÿ,2013-09-27 09:25:46.558011
A3034KR4301HA26280080023800000034009290382001900024200181002390002474900027320100ÿ,2013-09-27 09:29:03.847621,A3034KR4301HA26280080023800000034009290382001900024200181002390002474900027320100ÿ,2013-09-27 09:29:03.838364
A3034KR4301HA26280080021700000024009260638001900023900181002160002164800023746410ÿ,2013-09-27 09:26:06.412716,A3034KR4301HA26280080021700000024009260638001900023900181002160002164800023746410ÿ,2013-09-27 09:26:06.405540
A3034KR4301HA26280080021300000044009253145001900023900181002120002134000023414530ÿ,2013-09-27 09:25:31.482716,A3034KR4301HA26280080021300000044009253145001900023900181002120002134000023414530ÿ,2013-09-27 09:25:31.472480
A3034KR4301HA26280080023400000044009282711001900023900181002330002374900026131110ÿ,2013-09-27 09:28:27.165746,A3034KR4301HA26280080023400000044009282711001900023900181002330002374900026131110ÿ,2013-09-27 09:28:27.160717
A3034KR4301HA26280080021500000174009242383001900023900181002160002031600022332885ÿ,2013-09-27 09:24:23.857746,A3034KR4301HA26280080021500000174009242383001900023900181002160002031600022332885ÿ,2013-09-27 09:24:23.854366
A3034KR4301HA26280080023400000024009282642001900023900181002350002368600026057375ÿ,2013-09-27 09:28:26.506745,A3034KR4301HA26280080023400000024009282642001900023900181002350002368600026057375ÿ,2013-09-27 09:28:26.496951
A3034KR4301HA26280080023700000024009284449001900024200181002380002449900027024585ÿ,2013-09-27 09:28:44.517744,A3034KR4301HA26280080023700000024009284449001900024200181002380002449900027024585ÿ,2013-09-27 09:28:44.515462
A3034KR4301HA26280080023200000014009282579001900023900181002330002361400025973190ÿ,2013-09-27 09:28:25.824745,A3034KR4301HA26280080023200000014009282579001900023900181002330002361400025973190ÿ,2013-09-27 09:28:25.816245
A3034KR4301HA26280080024100000014009291674001900024300181002420002497200027588885ÿ,2013-09-27 09:29:16.771619,A3034KR4301HA26280080024100000014009291674001900024300181002420002497200027588885ÿ,2013-09-27 09:29:16.765299
